distance_m,az_deg,el_deg,mode,peak_offset_az_deg,peak_offset_el_deg,peak_offset_deg,peak_db,max_sidelobe_offset_az_deg,max_sidelobe_offset_el_deg,max_sidelobe_offset_deg,max_sidelobe_db,peak_direction_pass
1.0,0.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-8.855015,1
1.0,0.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-9.383205,1
1.0,0.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,-8.181818,0.000000,8.181818,-6.325021,1
1.0,0.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-11.555333,1
1.0,0.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-11.938179,1
1.0,0.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-11.938179,1
1.0,5.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-8.741131,1
1.0,5.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-9.423160,1
1.0,5.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,-8.181818,0.000000,8.181818,-6.289380,1
1.0,5.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-11.115246,1
1.0,5.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-12.455225,1
1.0,5.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-12.108073,1
1.0,10.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-9.291781,1
1.0,10.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-9.223531,1
1.0,10.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,-8.181818,0.000000,8.181818,-6.187212,1
1.0,10.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,8.181818,-16.363636,18.295102,-11.853404,1
1.0,10.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-13.721620,1
1.0,10.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-13.033082,1
1.0,14.999999999999998,0.0,uniform,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-10.429347,1
1.0,14.999999999999998,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-8.819833,1
1.0,14.999999999999998,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,-8.181818,0.000000,8.181818,-6.008537,1
1.0,14.999999999999998,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,8.181818,-16.363636,18.295102,-12.619495,1
1.0,14.999999999999998,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,8.181818,-18.000000,19.772257,-14.123349,1
1.0,14.999999999999998,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,9.818182,1.636364,9.953611,-12.924050,1
1.0,20.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-18.000000,-13.090909,22.256952,-10.289051,1
1.0,20.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-18.000000,-13.090909,22.256952,-8.099194,1
1.0,20.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,-8.181818,0.000000,8.181818,-6.055112,1
1.0,20.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,8.181818,-16.363636,18.295102,-12.365960,1
1.0,20.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,8.181818,-16.363636,18.295102,-13.595577,1
1.0,20.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,14.727273,13.090909,19.704427,-13.373622,1
1.0,25.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-18.000000,-13.090909,22.256952,-9.556375,1
1.0,25.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-18.000000,-13.090909,22.256952,-7.080340,1
1.0,25.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,-18.000000,18.000000,25.455844,-6.347512,1
1.0,25.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,8.181818,-16.363636,18.295102,-13.078957,1
1.0,25.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,8.181818,-16.363636,18.295102,-13.884734,1
1.0,25.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,8.181818,-16.363636,18.295102,-14.234382,1
1.0,29.999999999999996,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-18.000000,-13.090909,22.256952,-9.482604,1
1.0,29.999999999999996,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,-18.000000,-13.090909,22.256952,-7.390465,1
1.0,29.999999999999996,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,-18.000000,18.000000,25.455844,-6.906896,1
1.0,29.999999999999996,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,-9.818182,16.363636,19.083115,-12.283847,1
1.0,29.999999999999996,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,-9.818182,16.363636,19.083115,-13.718120,1
1.0,29.999999999999996,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-9.818182,16.363636,19.083115,-13.504789,1
